experiment,method,portfolio,command,execution_timestamp_start,execution_timestamp_end,model_code_commit,execution_HEAD,results_commit,working_tree_clean,solver,solver_version,julia_version,project_manifest_sha256,N,seed,delta_values_mw,calibration,cyclic_soc_frac,M2_risk_margin_mw,M2_buffer_h,M2_merge_gap_h,M2_min_window_h,notes
script_71_benchmark,MP_emergency_cur,VRE120_base,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; runtime values in runtime_common_benchmark.csv
script_71_benchmark,MP_emergency_cur,VRE120_wind_hvy,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; runtime values in runtime_common_benchmark.csv
script_71_benchmark,M1c,VRE120_base,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; runtime values in runtime_common_benchmark.csv
script_71_benchmark,M1c,VRE120_wind_hvy,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,N/A (no LP),N/A,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; runtime values in runtime_common_benchmark.csv
script_71_benchmark,M2,VRE120_base,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,Gurobi,Gurobi.jl 1.9.2 / Gurobi 13.0.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,NaN,1000,48,24,24,N=20 3-rep timing benchmark; median=0.181 s/scenario for VRE120_base
script_71_benchmark,M2,VRE120_wind_hvy,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,Gurobi,Gurobi.jl 1.9.2 / Gurobi 13.0.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,NaN,1000,48,24,24,N=20 3-rep timing benchmark; median=0.159 s/scenario for VRE120_wind_hvy
script_71_benchmark,M3,VRE120_base,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,Gurobi,Gurobi.jl 1.9.2 / Gurobi 13.0.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; median=9.12 s/scenario for VRE120_base
script_71_benchmark,M3,VRE120_wind_hvy,julia scripts/71_runtime_common_benchmark.jl,2026-06-16T17:55,2026-06-16T20:34,e82dbf9,e82dbf9,c5d785d,true,Gurobi,Gurobi.jl 1.9.2 / Gurobi 13.0.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"N/A (runtime only)",N/A,N/A,N/A,N/A,N/A,N/A,N=20 3-rep timing benchmark; median=8.92 s/scenario for VRE120_wind_hvy
script_72_regression,M2_HiGHS_vs_Gurobi,VRE120_base,julia scripts/72_m2_solver_regression.jl,2026-06-16T22:39:57,2026-06-16T22:46,c122c3d,c122c3d,8e080e8,false,HiGHS 1.23.0 vs Gurobi 13.0.2,HiGHS.jl 1.23.0 / Gurobi.jl 1.9.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"1,5,10",N/A,NaN,1000,48,24,24,N=20 controlled regression; script_72 not yet committed at execution time (working_tree_clean=false); results committed in 8e080e8. EUE PASS CC PASS OBJ PASS; LOLH differs (LP degeneracy expected).
script_72_regression,M2_HiGHS_vs_Gurobi,VRE120_wind_hvy,julia scripts/72_m2_solver_regression.jl,2026-06-16T22:39:57,2026-06-16T22:46,c122c3d,c122c3d,8e080e8,false,HiGHS 1.23.0 vs Gurobi 13.0.2,HiGHS.jl 1.23.0 / Gurobi.jl 1.9.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,"1,5,10",N/A,NaN,1000,48,24,24,N=20 controlled regression; script_72 not yet committed at execution time (working_tree_clean=false); results committed in 8e080e8. EUE PASS CC PASS OBJ PASS; LOLH differs (LP degeneracy expected).
script_73_lolh_diagnostic,M2_LOLH_hourly_diag,VRE120_base,julia scripts/73_m2_lolh_diagnostics.jl,2026-06-16T23:00,2026-06-16T23:15,8e080e8,8e080e8,397e78b,false,HiGHS 1.23.0 vs Gurobi 13.0.2,HiGHS.jl 1.23.0 / Gurobi.jl 1.9.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,N/A,N/A,NaN,1000,48,24,24,Per-hour disputed-load-shed diagnostic; 101 disputed hours (base); min=1.64 MW; all inside windows; LOLH unchanged at all 9 thresholds 0–1e-3 MW; Case B confirmed.
script_73_lolh_diagnostic,M2_LOLH_hourly_diag,VRE120_wind_hvy,julia scripts/73_m2_lolh_diagnostics.jl,2026-06-16T23:00,2026-06-16T23:15,8e080e8,8e080e8,397e78b,false,HiGHS 1.23.0 vs Gurobi 13.0.2,HiGHS.jl 1.23.0 / Gurobi.jl 1.9.2,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,N/A,N/A,NaN,1000,48,24,24,Per-hour disputed-load-shed diagnostic; 28 disputed hours (wind-heavy); min=42.6 MW; all inside windows; LOLH unchanged at all 9 thresholds 0–1e-3 MW; Case B confirmed.
script_74_m3_diagnostic,M2_Gurobi_event_shape+M3_HiGHS_vs_Gurobi,VRE120_base+VRE120_wind_hvy,julia scripts/74_m3_lolh_diagnostics.jl,2026-06-17T00:00,pending,09ade78,09ade78,pending,false,Gurobi 13.0.2 + HiGHS 1.23.0,Gurobi.jl 1.9.2 / HiGHS.jl 1.23.0,1.12.6,7F8FF4D7CCBA95B14F28FC5756BA2B2946001CFB6A813BCDB3AA644FDCD81786,20,42,N/A,N/A,NaN,1000,48,24,24,Part 1: Gurobi M2 event-shape (base: 2.9/2.5h/8h/1440MW; wh: 1.0/2.4h/7h/1335MW). Part 2: M3 HiGHS vs Gurobi comparison. Still running (~4h for HiGHS M3).
